分類,項目,レベル,要求事項の要点,主な対象,RTXローカル管理のみの場合,SingleID併用時の説明,別途確認が必要な点
ユーザID管理・VPN利用者認証に関する項目,4-1-1-1,★3,ユーザIDの付与・変更・削除を申請・承認制にすること。,VPN利用者認証・RTX管理者認証,VPNユーザやRTX管理者を機器ごとにローカル管理する場合、申請・承認記録、退職・異動時の反映、共有アカウント排除、棚卸を別途管理する必要があります。,SingleID側でユーザを管理し、VPNアクセスやRTX管理者ログインの許可ユーザ・許可グループを制御することで、ユーザ単位の認証と利用権限の停止を説明しやすくなります。,申請・承認フロー、台帳、棚卸記録は顧客側の運用として整備する必要があります。
ユーザID管理・VPN利用者認証に関する項目,4-1-1-2,★3,ユーザIDを共有しないこと。共有が必要な場合は利用者を特定できるようにすること。,VPN利用者認証・RTX管理者認証,共有VPNアカウントや共有管理者アカウントを利用すると、誰がVPN接続したか、誰がRTXへログインしたかを特定しにくくなります。,SingleIDのユーザ単位のRADIUS認証に寄せることで、VPN利用者やRTX管理者を個人単位で整理しやすくなります。,ローカル共有アカウント、緊急時アカウント、RTX側ログの取得・保管は別途確認が必要です。
ユーザID管理・VPN利用者認証に関する項目,4-1-1-3,★3,不要になったユーザIDを速やかに削除または無効化すること。,VPN利用者認証・RTX管理者認証,RTXのローカル認証DBや管理者アカウントに退職・異動者が残ると、削除漏れがリスクになります。,SingleID側でユーザを無効化・削除することで、VPN利用やRTX管理者ログインを停止する運用に寄せやすくなります。,RTXに残るローカルユーザ、管理者アカウント、緊急時アカウントは別途棚卸が必要です。
ユーザID管理・VPN利用者認証に関する項目,4-1-1-4,★3,不要になったアクセス権を速やかに削除または無効化すること。,VPN利用者認証・RTX管理者認証,拠点や機器ごとにVPN利用権限や管理者権限を管理している場合、権限変更時の反映漏れが起きやすくなります。,SingleIDのユーザ・グループ制御、および管理権限・一般権限の割り当てを使うことで、VPNアクセス権やRTX管理者ログイン可否の変更を整理しやすくなります。,アクセス権変更の申請・承認、棚卸、RTX側の管理アクセス設定は別途確認が必要です。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-1,★3,すべてのサーバおよびネットワーク機器について、システム管理者および責任者を定めること。,RTX管理者認証,RTXを管理する責任者を機器ごとに明確にする必要があります。,SingleIDは責任者の指定そのものを代替するものではありませんが、RTX管理者ログインをユーザ単位にすることで、責任者・管理者の整理をしやすくなります。,管理責任者、運用責任者、緊急時対応者は顧客側の運用として定義する必要があります。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-2,★3,管理者IDを共有しないこと。共有が必要な場合は利用者を特定できるようにすること。,RTX管理者認証,RTX管理者アカウントを共有すると、誰がRTXへログインしたかを特定しにくくなります。,RTX管理者ログインをSingleIDのユーザ単位のRADIUS認証に寄せることで、管理者ごとの認証として説明しやすくなります。,ローカル管理者アカウント、緊急時アカウント、RTX側ログの取得・保管は別途確認が必要です。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-3,★3,管理者IDには用途に応じた必要最低限の権限のみを付与すること。,RTX管理者認証,RTX本体側だけで管理者権限を運用する場合、管理対象者の棚卸や権限管理を別途行う必要があります。,SingleIDの許可ユーザ・許可グループと、管理権限・一般権限の割り当てにより、管理者権限を整理しやすくなります。,RTX側の管理画面の閲覧範囲、管理アクセス方式、接続元制限、ローカル管理者の扱いは別途確認が必要です。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-5,★3,誰が管理者IDを持っているかを把握する仕組みを整備すること。,RTX管理者認証,機器ごとのローカル管理では、管理者の一覧化や棚卸が煩雑になります。,RTX管理者ログインをSingleIDに寄せることで、管理者IDの把握と棚卸を行いやすくなります。,RTX側に残るローカル管理者、緊急時アカウント、設定変更権限の棚卸が必要です。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-6,★3,不要になった管理者IDを速やかに削除または無効化すること。,RTX管理者認証,RTX側に管理者アカウントが残ると、退職・異動後の削除漏れがリスクになります。,SingleID側で管理者を無効化・削除することで、RTX管理アクセスの停止を集中管理しやすくなります。,ローカル管理者アカウントと緊急時アカウントは別途確認が必要です。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-7,★3,管理者IDの付与・変更・削除を申請・承認制にすること。,RTX管理者認証,機器ごとに手動で管理する場合、申請・承認と実設定の対応を別途確認する必要があります。,SingleID側の管理プロセスに寄せることで、管理者IDの付与・変更・削除を統制しやすくなります。,申請・承認フロー、証跡、RTX側設定変更手順は顧客側で定義する必要があります。
RTX管理者ID管理・管理者認証に関する項目,4-1-2-8,★3,管理者IDの付与・変更・削除やネットワーク機器の設定変更を行う権限を、業務上必要な者に限定すること。,RTX管理者認証,RTXの設定変更権限をローカル管理だけで運用すると、対象者の限定や棚卸を別途行う必要があります。,RTX管理者ログインをSingleID認証に寄せ、管理権限・一般権限を割り当てることで、設定変更できる管理者を整理しやすくなります。,ローカル管理者の扱い、緊急時アカウント、RADIUS障害時の緊急運用は別途確認が必要です。
パスワード・多要素認証に関する項目,4-1-3-1,★3,アクセス許可前に、ユーザIDごとの認証情報でユーザを認証すること。,VPN利用者認証・RTX管理者認証,ローカル認証DBでも実現できますが、共有IDや削除漏れがあるとユーザ単位の認証として弱くなります。,ユーザごとのSingleIDアカウントでVPN利用者認証やRTX管理者ログインを行うことで、利用者単位・管理者単位の認証として説明できます。,RTXに残るローカルユーザ、緊急時アカウント、共有IDの扱いは別途確認が必要です。
パスワード・多要素認証に関する項目,4-1-3-3,★3,多要素認証では、知識情報、所有情報、生体情報、その他の情報から2種類以上を利用すること。,VPN利用者認証・RTX管理者認証,RTXのローカルパスワード認証のみでは、知識情報だけの認証になります。,パスワードを知識情報、OTPを所有情報として扱うことで、VPN利用者認証やRTX管理者認証を多要素認証として説明できます。,SingleIDの設定で「2要素認証（OTP）のみ許可」を有効にするかどうかにより、認証強度の説明が変わります。OTP未登録ユーザの扱いも確認が必要です。
パスワード・多要素認証に関する項目,4-1-3-4,★3,多要素認証の知識情報として用いるパスワードは8文字以上とすること。,VPN利用者認証・RTX管理者認証,RTX側だけでパスワードルールを組織全体に合わせて維持するには、別途運用管理が必要です。,SingleID側のパスワードポリシーを利用し、VPN利用者やRTX管理者にも同じ方針を適用しやすくなります。,RTXに残るローカルユーザ、管理パスワード、緊急時アカウントはSingleIDのパスワードポリシーだけでは統制できないため、別途確認が必要です。
パスワード・多要素認証に関する項目,4-1-3-5,★4,重要な機密情報を取り扱うシステムにおいて、インターネット経由で社内環境へ接続する場合などは、多要素認証を使用すること。,VPN利用者認証・RTX管理者認証,リモートアクセスVPNやインターネット経由のRTX管理アクセスがパスワードのみの場合、この考え方に対する説明が弱くなります。,リモートアクセスVPNが重要な機密情報を取り扱うシステムまたは社内環境への入口となる場合、VPN認証にOTPを追加することで、多要素認証を適用する構成として説明できます。RTX管理画面をインターネット経由で利用する場合も、管理者ログインにOTPを組み合わせることで、管理アクセスの多要素認証として説明しやすくなります。,対象システムが重要な機密情報を取り扱うか、管理アクセスをインターネット経由で許可するか、RTX側で接続元制限を行うかを確認する必要があります。
パスワード・多要素認証に関する項目,4-1-5-1,★3,デフォルトパスワードを変更するルールを定めること。,顧客運用,RTXの初期管理パスワードやローカルユーザの初期設定を個別に管理する必要があります。,SingleID認証へ寄せる場合でも、RTX本体の管理パスワード変更は別途必要です。SingleIDは利用者認証・管理者認証の集中管理を補完します。,RTX本体の初期パスワード、ローカル管理者アカウント、緊急時アカウントの管理は顧客側で確認します。
パスワード・多要素認証に関する項目,4-1-5-2,★3,推測されやすい単語のパスワード設定を禁止すること。,VPN利用者認証・RTX管理者認証,RTX側のローカルパスワードだけで組織のパスワードポリシーを徹底するには、運用確認が必要です。,SingleID側のパスワードポリシーに寄せることで、VPN利用者認証やRTX管理者認証にも推測されにくいパスワード運用を適用しやすくなります。,RTXに残るローカルユーザや緊急時アカウントには、別途パスワードルールを適用する必要があります。
パスワード・多要素認証に関する項目,4-1-5-3,★3,パスワード認証では、多要素認証または試行回数制限を組み合わせたうえで8文字以上とすること。,VPN利用者認証・RTX管理者認証,パスワードのみのVPN認証やRTX管理者認証では、多要素認証としての説明はできません。SCS評価制度の観点では、多要素認証、試行回数制限、パスワード長、アカウントロック等の条件を確認する必要があります。,SingleIDのOTPを追加することで、VPN利用者認証およびRTX管理者認証において、パスワード認証に多要素認証を組み合わせる構成として説明できます。,RTXに残るローカルユーザ、管理パスワード、緊急時アカウントについては、パスワード長、複雑性、保管、変更手順を別途確認する必要があります。
パスワード・多要素認証に関する項目,4-1-5-4,★3,情報機器およびサービス間でパスワードを使い回さないようにすること。,VPN利用者認証・RTX管理者認証,VPN専用のローカルパスワードやRTX管理者パスワードを個別に管理すると、使い回しの確認が難しくなります。,SingleID側のID管理・パスワードポリシーに寄せることで、利用者ごとのパスワード管理を統制しやすくなります。,ローカル管理者アカウント、緊急時アカウント、RTX管理パスワードの使い回し禁止は別途確認が必要です。
パスワード・多要素認証に関する項目,4-1-5-5,★3,パスワード設定ルールを利用者に周知すること。,顧客運用,VPNやRTX管理だけ別ルールになると、利用者や管理者への周知が分散しやすくなります。,SingleIDの利用ルールとして、VPN認証やRTX管理者認証を含めたパスワード・OTP利用方針を周知しやすくなります。,周知資料、対象者、教育記録は顧客側の運用として整備する必要があります。
パスワード・多要素認証に関する項目,4-1-6-1,★3,パスワードを安全に保管するルールを定めること。,顧客運用,VPN専用パスワードやRTX管理パスワードを端末やメモに保存する運用になりやすく、管理が分散します。,SingleIDの認証に寄せることで、VPN専用のローカルパスワード管理を減らし、OTP併用で漏えい時のリスクも下げられます。,RTX管理パスワード、緊急時アカウント、ローカル管理者パスワードの保管ルールは別途確認が必要です。
パスワード・多要素認証に関する項目,4-1-6-2,★3,パスワード漏えい時、速やかに変更する手順を定めること。,VPN利用者認証・RTX管理者認証,RTXローカル認証では、機器ごとに該当ユーザのパスワード変更や無効化が必要になります。,SingleID側でパスワード変更、ユーザ無効化、OTP再設定などを集中して行いやすくなります。,RTXに残るローカル管理者パスワードや緊急時アカウントの変更手順は別途確認が必要です。
パスワード・多要素認証に関する項目,4-1-6-3,★3,パスワード管理ルールを利用者に周知すること。,顧客運用,VPNやRTX管理専用の例外運用があると、周知内容が複雑になります。,SingleIDの利用ルールにVPN認証やRTX管理者認証を含めることで、認証ルールの周知を一本化しやすくなります。,周知、教育、利用者確認は顧客側の運用として整備する必要があります。
アクセス権管理に関する項目,4-1-7-1,★3,アクセス権の発行・変更・削除、範囲限定、棚卸、台帳管理のルールを定めること。,VPN利用者認証・RTX管理者認証,RTXごとのローカル認証では、VPNアクセス権やRTX管理者権限の台帳管理・棚卸を別途行う必要があります。,SingleIDのユーザ・グループでVPN利用可否やRTX管理者ログイン可否を管理し、管理権限・一般権限を割り当てることで、アクセス権の発行・変更・削除を整理しやすくなります。,申請・承認フロー、台帳、棚卸、RTX側の接続方式・接続元制限は別途確認が必要です。
アクセス権管理に関する項目,4-1-7-2,★4,年1回以上、付与したアクセス権の棚卸を実施すること。,VPN利用者認証・RTX管理者認証,RTXに登録されたローカルユーザや管理者アカウントを機器ごとに確認する必要があります。,SingleID側のグループやユーザ一覧を基準に、VPNアクセス権やRTX管理者権限の棚卸を行いやすくなります。,棚卸頻度、証跡、RTX側ローカルアカウントの確認は顧客側で定義する必要があります。
アクセス権管理に関する項目,4-1-7-3,★4,重要な機密情報を扱うシステムは、アクセス権付与の条件を定めること。,VPN利用者認証,VPN接続後に重要システムへ到達できる場合、VPN利用条件を別途明確にする必要があります。,SingleIDのグループ条件を用いて、VPN利用を許可する対象者を定義しやすくなります。,VPN接続後の到達可能範囲、ネットワーク分離、重要システム側のアクセス制御は別途確認が必要です。
アクセス権管理に関する項目,4-1-7-4,★4,重要な機密情報を扱うシステムのアクセス権設定について、システム管理者の要件および設定手順を定めること。,RTX設定・運用,VPN接続が重要システムへの入口になる場合、誰がVPNアクセス権を設定するか、どの手順で設定するかを明確にする必要があります。,SingleID側のユーザ・グループ設定手順とRTX側のVPN設定手順を分けて整理し、運用手順として明文化しやすくなります。,設定変更者、承認者、設定レビュー、緊急変更手順は顧客側で定義する必要があります。
アクセス権管理に関する項目,4-1-7-5,★4,ユーザおよび管理者ごとに必要最小限の権限を付与すること。,VPN利用者認証・RTX管理者認証,共有VPNアカウントや広い管理アクセス許可では、最小権限の説明が難しくなります。,ユーザ・グループ単位でVPN利用可否やRTX管理アクセス可否を分け、管理権限・一般権限を割り当てることで、最小権限の考え方に寄せやすくなります。,VPN接続後のアクセス範囲、RTX側の接続方式・接続元制限、管理元IP制限は別途確認が必要です。
アクセス権管理に関する項目,4-1-7-6,★4,付与したアクセス権の運用・利用状況を監視する仕組みを整備すること。,ログ管理,RTX側の接続ログだけでは、利用者管理や認証失敗状況の確認が分散しやすくなります。,SingleIDの認証ログとRTX側のVPN接続ログ・管理ログを組み合わせることで、VPN利用状況やRTX管理アクセス状況を確認しやすくなります。,ログ確認頻度、担当者、保存期間、異常検知時の対応手順は顧客側の運用として定義する必要があります。
ネットワーク境界防護に関する項目,4-5-1-1,★3,ファイアウォールまたはルータのデフォルト管理パスワードを強固で一意のパスワードに変更する、またはリモートアクセスを完全に無効化すること。,RTX設定・運用,RTXの初期管理パスワードやローカル管理者パスワードを個別に管理する必要があります。,SingleIDはVPN利用者認証やRTX管理者認証の強化を補完しますが、RTX本体の初期管理パスワード変更そのものはRTX側で実施する必要があります。,初期パスワード変更、緊急時アカウント、ローカル管理者パスワードの保管・変更手順を確認します。
ネットワーク境界防護に関する項目,4-5-1-2,★3,ファイアウォールまたはルータのパスワードを変更する手順を定めること。,RTX設定・運用,RTXごとに管理パスワード変更手順を定める必要があります。,SingleID認証へ寄せる場合でも、RTX本体のローカル管理者アカウントや緊急時アカウントのパスワード管理は別途必要です。,変更頻度、保管方法、担当者、障害時の利用手順を運用ルールとして定めます。
ネットワーク境界防護に関する項目,4-5-1-3,★3,ファイアウォールまたはルータの認証は、パスワード設定等に関する評価基準を満たすこと。,RTX管理者認証,RTXはルータであり、RTX本体への管理者ログイン認証は、ルータの認証として確認対象になります。VPN利用者認証については、主に4-1-3-5や4-1-5-3の観点で整理します。,RTX管理者ログインをSingleID認証に寄せることで、ルータ管理者認証に対してパスワードポリシーやOTPの適用を説明しやすくなります。VPN利用者認証については、別途VPN認証強化の観点で整理します。,ローカル管理者アカウント、緊急時アカウント、RADIUS障害時の運用を確認する必要があります。
ネットワーク境界防護に関する項目,4-5-1-4,★3,認証されていないインバウンド通信を遮断すること。,RTX設定・運用,VPN公開ポートはインターネット側の入口になるため、認証前通信と認証後通信の扱いをRTX側で適切に設計する必要があります。,SingleIDは認証強化を担います。境界防護そのものはRTX側のVPN設定、フィルタ設定、管理アクセス制限と合わせて確認します。,VPN公開範囲、フィルタ設定、管理画面の公開有無、不要なインバウンド通信の遮断はRTX側で確認します。
ネットワーク境界防護に関する項目,4-5-1-7,★3,インターネット経由でファイアウォール・ルールを変更する場合は、多要素認証または信頼できるIPアドレス制限を適用すること。,RTX管理者認証,RTXの管理画面や管理接続をインターネット経由で利用する場合、ローカルパスワードのみでは説明が弱くなります。,RTX管理者ログインをSingleIDのワンタイムパスワード認証に寄せる構成や、RTX側で接続元IPアドレスを制限する構成により、管理アクセスの保護を説明しやすくなります。,管理画面をインターネットへ直接公開しない設計、安全な管理接続方式、管理元IP制限、VPN経由管理、緊急時アクセスの手順を確認する必要があります。
ログ取得・監視に関する項目,4-4-3-1,★4,ファイアウォール、プロキシサーバ、認証サーバなどのログを取得・保管すること。,ログ管理,RTX側のVPNログだけでは、認証サーバ側の成功・失敗やユーザID単位の確認が不足する場合があります。,SingleIDのRADIUS認証ログとRTX側のVPN接続ログ・管理ログを組み合わせることで、VPN利用者認証およびRTX管理者認証の成功・失敗、接続状況、管理アクセス状況を確認しやすくなります。,保存期間、取得項目、設定変更ログの扱い、ログ保管場所は別途確認が必要です。
ログ取得・監視に関する項目,4-4-3-2,★4,取得・保管を求めるログを保存する媒体やシステムにインターネット経由でアクセスする場合は、多要素認証を使用すること。,ログ管理,ログ保存先へインターネット経由でアクセスできる場合、ログ閲覧者の認証も確認が必要になります。,SingleIDの利用範囲にログ閲覧システムを含める場合、多要素認証を適用する対策として説明しやすくなります。,ログ保存先、ログ閲覧システム、閲覧者権限、MFA適用範囲は別途確認が必要です。
ログ取得・監視に関する項目,4-4-3-3,★4,認証サーバのログを月1回以上モニタリングし、不審な認証試行を検知すること。,ログ管理,RTX側ログだけでは、VPN利用者認証やRTX管理者認証の成功・失敗、無効ユーザの試行、認証失敗の傾向確認が分散しやすくなります。,SingleIDのRADIUS認証ログを確認することで、VPN認証やRTX管理者ログインに対する成功・失敗、不審な認証試行、無効ユーザによる試行などを確認しやすくなります。,ログ確認頻度、担当者、保存期間、異常検知時の対応手順は顧客側の運用として定義する必要があります。
