"分類","項目","レベル","関連度","要求事項の要点","主な対象","RTXローカル管理のみの場合","SingleID併用時の説明","RTX側・顧客運用で確認すること","証跡例（SingleID・RTX・顧客運用）"
"ユーザID管理・VPN利用者認証に関する項目","4-1-1-1","★3","高","ユーザIDの付与・変更・削除を申請・承認制にすること。","VPN利用者認証・RTX管理者認証","VPNユーザやRTX管理者を機器ごとにローカル管理する場合、申請・承認記録、退職・異動時の反映、共有アカウント排除、棚卸を個別に管理する必要があります。","SingleID側でユーザを管理し、VPNアクセスやRTX管理者ログインの許可ユーザ・許可グループを制御することで、ユーザ単位の認証と利用権限の停止を整理できます。","申請・承認フロー、台帳、棚卸記録。","SingleIDユーザ一覧、SingleIDグループ設定、顧客運用の申請・承認記録、棚卸記録。"
"ユーザID管理・VPN利用者認証に関する項目","4-1-1-2","★3","高","ユーザIDを共有しないこと。共有が必要な場合は利用者を特定できるようにすること。","VPN利用者認証・RTX管理者認証","共有VPNアカウントや共有管理者アカウントを利用すると、誰がVPN接続したか、誰がRTXへログインしたかを特定しにくくなります。","SingleIDのユーザ単位のRADIUS認証を利用することで、VPN利用者やRTX管理者を個人単位で管理できます。","ローカル共有アカウント、緊急時アカウント、RTX側ログの取得・保管。","SingleIDユーザ一覧、SingleID RADIUS認証ログ、RTXローカルアカウント一覧、顧客運用の共有アカウント利用申請記録。"
"ユーザID管理・VPN利用者認証に関する項目","4-1-1-3","★3","高","不要になったユーザIDを速やかに削除または無効化すること。","VPN利用者認証・RTX管理者認証","RTXのローカル認証DBや管理者アカウントに退職・異動者が残ると、削除漏れがリスクになります。","SingleID側でユーザを無効化・削除することで、SingleID認証を利用するVPN接続やRTX管理者ログインを停止できます。","RTXに残るローカルユーザ、管理者アカウント、緊急時アカウントの棚卸。","SingleID操作ログ（ユーザの無効化）、SingleIDグループ一覧、顧客運用の退職・異動申請、顧客運用の変更記録、RTXローカルアカウント棚卸記録。"
"ユーザID管理・VPN利用者認証に関する項目","4-1-1-4","★3","高","不要になったアクセス権を速やかに削除または無効化すること。","VPN利用者認証・RTX管理者認証","拠点や機器ごとにVPN利用権限や管理者権限を管理している場合、権限変更時の反映漏れが起きやすくなります。","SingleIDのユーザ・グループ制御、および管理権限・一般権限の割り当てにより、VPNアクセス権やRTX管理者ログイン可否の変更を管理できます。","アクセス権変更の申請・承認、棚卸、RTX側の管理アクセス設定。","SingleIDグループ一覧、顧客運用のアクセス権申請記録、顧客運用の変更記録、棚卸記録。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-1","★3","中","すべてのサーバおよびネットワーク機器について、システム管理者および責任者を定めること。","RTX管理者認証","RTXを管理する責任者を機器ごとに明確にする必要があります。","SingleIDは責任者の指定そのものを代替しません。RTX管理者ログインをユーザ単位にすることで、責任者・管理者の対応関係を整理できます。","管理責任者、運用責任者、緊急時対応者の定義。","顧客運用の管理責任者一覧、運用体制表、緊急時対応者一覧、SingleID管理者グループ一覧。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-2","★3","高","管理者IDを共有しないこと。共有が必要な場合は利用者を特定できるようにすること。","RTX管理者認証","RTX管理者アカウントを共有すると、誰がRTXへログインしたかを特定しにくくなります。","RTX管理者ログインでSingleIDのユーザ単位のRADIUS認証を利用することで、管理者ごとの認証として整理できます。","ローカル管理者アカウント、緊急時アカウント、RTX側ログの取得・保管。","SingleID管理者ユーザ一覧、SingleID RADIUS認証ログ、RTX側ログ、RTXローカル管理者アカウント棚卸記録。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-3","★3","高","管理者IDには用途に応じた必要最低限の権限のみを付与すること。","RTX管理者認証","RTX本体側だけで管理者権限を運用する場合、管理対象者の棚卸や権限管理を個別に行う必要があります。","SingleIDの許可ユーザ・許可グループと、管理権限・一般権限の割り当てにより、管理者権限を整理できます。","RTX側の管理画面の閲覧範囲、管理アクセス方式、接続元制限、ローカル管理者の扱い。","SingleID RADIUSサイト設定（管理アクセスの認証）、SingleID管理者グループ一覧、RTX管理アクセス設定、顧客運用の権限棚卸記録。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-5","★3","高","誰が管理者IDを持っているかを把握する仕組みを整備すること。","RTX管理者認証","機器ごとのローカル管理では、管理者の一覧化や棚卸が煩雑になります。","RTX管理者ログインにSingleIDを利用することで、管理者IDの把握と棚卸の基準にできます。","RTX側に残るローカル管理者、緊急時アカウント、設定変更権限の棚卸。","SingleID管理者ユーザ一覧、SingleID管理者グループ一覧、RTXローカルアカウント一覧、顧客運用の棚卸記録。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-6","★3","高","不要になった管理者IDを速やかに削除または無効化すること。","RTX管理者認証","RTX側に管理者アカウントが残ると、退職・異動後の削除漏れがリスクになります。","SingleID側で管理者を無効化・削除することで、SingleID認証を利用するRTX管理アクセスの停止を集中管理できます。","ローカル管理者アカウントと緊急時アカウント。","SingleID操作ログ（ユーザの無効化）、SingleID管理者グループ一覧、顧客運用の変更記録、RTXローカル管理者棚卸記録。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-7","★3","中","管理者IDの付与・変更・削除を申請・承認制にすること。","RTX管理者認証","機器ごとに手動で管理する場合、申請・承認と実設定の対応を個別に確認する必要があります。","申請・承認制そのものは顧客運用として整備します。SingleIDは承認後の管理者ID付与・変更・削除の実施先として利用できます。","申請・承認フロー、証跡、RTX側設定変更手順。","顧客運用の管理者権限申請記録、承認記録、SingleIDグループ一覧、顧客運用の変更記録、RTX設定変更記録。"
"RTX管理者ID管理・管理者認証に関する項目","4-1-2-8","★3","高","管理者IDの付与・変更・削除やネットワーク機器の設定変更を行う権限を、業務上必要な者に限定すること。","RTX管理者認証","RTXの設定変更権限をローカル管理だけで運用すると、対象者の限定や棚卸を個別に行う必要があります。","RTX管理者ログインにSingleID認証を利用し、管理権限・一般権限を割り当てることで、設定変更できる管理者を整理できます。","ローカル管理者、緊急時アカウント、RADIUS障害時の緊急運用。","SingleID RADIUSサイト設定（管理アクセスの認証）、SingleID管理者グループ一覧、RTX管理者ログ、顧客運用の緊急時アカウント運用手順。"
"パスワード・多要素認証に関する項目","4-1-3-1","★3","高","アクセス許可前に、ユーザIDごとの認証情報でユーザを認証すること。","VPN利用者認証・RTX管理者認証","ローカル認証DBでも実現できますが、共有IDや削除漏れがあるとユーザ単位の認証として弱くなります。","ユーザごとのSingleIDアカウントでVPN利用者認証やRTX管理者ログインを行うことで、利用者単位・管理者単位の認証として説明できます。","RTXに残るローカルユーザ、緊急時アカウント、共有IDの扱い。","SingleIDユーザ一覧、SingleID RADIUS認証ログ、顧客運用の共有ID棚卸記録、RTXローカルアカウント一覧。"
"パスワード・多要素認証に関する項目","4-1-3-3","★3","高","多要素認証では、知識情報、所有情報、生体情報、その他の情報から2種類以上を利用すること。","VPN利用者認証・RTX管理者認証","RTXのローカルパスワード認証のみでは、知識情報だけの認証になります。","パスワードを知識情報、OTPを所有情報として組み合わせることで、VPN利用者認証およびRTX管理者認証を多要素認証として整理できます。","OTP未登録ユーザがパスワードのみで認証できない構成になっているかを確認します。必要に応じて「2要素認証（OTP）のみ許可」の設定有無を確認します。","SingleID RADIUSサイト設定（2要素認証（OTP）のみ許可）、SingleID RADIUS認証ログ（OTPあり成功、OTPなし失敗）、認証試験結果。"
"パスワード・多要素認証に関する項目","4-1-3-4","★3","中","多要素認証の知識情報として用いるパスワードは8文字以上とすること。","VPN利用者認証・RTX管理者認証","RTX側だけでパスワードルールを組織全体に合わせて維持するには、個別の運用管理が必要です。","SingleIDのパスワードポリシー（パスワード長・複雑性）を利用し、VPN利用者やRTX管理者に同じパスワード方針を適用できます。","RTXに残るローカルユーザ、管理パスワード、緊急時アカウントのパスワード長・複雑性ルール。","SingleIDパスワードポリシー、RTXローカルアカウント管理手順、顧客運用の緊急時アカウント管理記録。"
"パスワード・多要素認証に関する項目","4-1-3-5","★4","高","重要な機密情報を取り扱うシステムにおいて、インターネット経由で社内環境へ接続する場合などは、多要素認証を使用すること。","VPN利用者認証・インターネット経由のRTX管理者認証","リモートアクセスVPNやインターネット経由のRTX管理アクセスがパスワードのみの場合、この考え方に対する説明が弱くなります。","リモートアクセスVPNにSingleIDのOTP認証を適用することで、インターネット経由の社内接続に対する多要素認証として説明できます。RTX管理者ログインにもOTP認証を適用する場合、管理アクセスの多要素認証として整理できます。","対象システムが重要な機密情報を取り扱うか、管理アクセスをインターネット経由で許可するか、RTX側で接続元制限を行うか。","RTX VPN認証設定、RTX管理者認証設定、SingleID RADIUSサイト設定（2要素認証（OTP）のみ許可）、RTX接続元制限設定、認証試験結果。"
"パスワード・多要素認証に関する項目","4-1-5-1","★3","低","デフォルトパスワードを変更するルールを定めること。","顧客運用","RTXの初期管理パスワードやローカルユーザの初期設定を個別に管理する必要があります。","本項目はRTX本体の初期パスワード変更ルールが主な確認対象です。SingleIDはVPN利用者認証・RTX管理者認証を強化する補助策であり、RTX本体のデフォルトパスワード変更を代替しません。","RTX本体の初期パスワード、ローカル管理者アカウント、緊急時アカウントの管理。","RTX初期設定記録、RTX管理パスワード変更記録、RTXローカル管理者アカウント管理台帳。"
"パスワード・多要素認証に関する項目","4-1-5-2","★3","中","推測されやすい単語のパスワード設定を禁止すること。","VPN利用者認証・RTX管理者認証","RTX側のローカルパスワードだけで組織のパスワードポリシーを徹底するには、運用確認が必要です。","SingleIDのパスワードポリシーを適用することで、VPN利用者認証やRTX管理者認証に組織のパスワード方針を適用できます。推測されやすい単語の禁止については、SingleIDのポリシー設定内容および利用者ルールとあわせて確認します。","RTXに残るローカルユーザや緊急時アカウントへのパスワードルール適用。","SingleIDパスワードポリシー、RTXローカルアカウント管理手順、顧客運用の緊急時アカウント管理記録。"
"パスワード・多要素認証に関する項目","4-1-5-3","★3","高","パスワード認証では、多要素認証または試行回数制限を組み合わせたうえで8文字以上とすること。","VPN利用者認証・RTX管理者認証","パスワードのみのVPN認証やRTX管理者認証では、多要素認証としての説明はできません。SCS評価制度の観点では、多要素認証、試行回数制限、パスワード長、アカウントロック等の条件を確認する必要があります。","SingleIDのOTPを追加することで、VPN利用者認証およびRTX管理者認証において、パスワード認証に多要素認証を組み合わせる構成として説明できます。","RTXに残るローカルユーザ、管理パスワード、緊急時アカウントのパスワード長、複雑性、保管、変更手順。","SingleIDパスワードポリシー、SingleID RADIUSサイト設定（2要素認証（OTP）のみ許可）、SingleID RADIUS認証ログ（OTPあり成功、OTPなし失敗）、認証試験結果、RTXローカルアカウント管理記録。"
"パスワード・多要素認証に関する項目","4-1-5-4","★3","中","情報機器およびサービス間でパスワードを使い回さないようにすること。","VPN利用者認証・RTX管理者認証","VPN専用のローカルパスワードやRTX管理者パスワードを個別に管理すると、使い回しの確認が難しくなります。","RTXごとのローカルパスワードを減らし、SingleID側で認証情報管理を集約できます。ただし、他サービスとのパスワード使い回し禁止は、利用者ルールや教育とあわせて確認します。","ローカル管理者アカウント、緊急時アカウント、RTX管理パスワードの使い回し禁止。","SingleIDパスワードポリシー、顧客運用の利用者教育資料、RTXローカル管理者アカウント台帳、緊急時アカウント管理記録。"
"パスワード・多要素認証に関する項目","4-1-5-5","★3","低","パスワード設定ルールを利用者に周知すること。","顧客運用","VPNやRTX管理だけ別ルールになると、利用者や管理者への周知が分散します。","VPN認証やRTX管理者認証で利用するSingleIDのパスワード・OTP利用方針を、顧客運用の周知資料に含めることができます。","周知資料、対象者、教育記録。","顧客運用の周知資料、教育記録、利用者確認記録、情報セキュリティ規程。"
"パスワード・多要素認証に関する項目","4-1-6-1","★3","低","パスワードを安全に保管するルールを定めること。","顧客運用","VPN専用パスワードやRTX管理パスワードを端末やメモに保存する運用になりやすく、管理が分散します。","VPN専用のローカルパスワード管理を減らし、SingleID側で認証情報管理を集約できます。OTPを併用する場合、パスワード漏えい時の不正利用リスクを低減する対策として説明できます。","RTX管理パスワード、緊急時アカウント、ローカル管理者パスワードの保管ルール。","顧客運用のパスワード保管ルール、SingleID利用ルール、緊急時アカウント管理記録、教育記録。"
"パスワード・多要素認証に関する項目","4-1-6-2","★3","中","パスワード漏えい時、速やかに変更する手順を定めること。","VPN利用者認証・RTX管理者認証","RTXローカル認証では、機器ごとに該当ユーザのパスワード変更や無効化が必要になります。","SingleID側でパスワード変更やユーザ無効化を実施できます。OTPを再登録する場合は、利用者側の再登録手順や顧客運用の確認記録とあわせて管理します。","RTXに残るローカル管理者パスワードや緊急時アカウントの変更手順。","顧客運用のパスワード漏えい時対応手順、SingleID操作ログ（ユーザの無効化）、顧客運用のOTP再登録確認記録、RTXローカル管理者変更記録。"
"パスワード・多要素認証に関する項目","4-1-6-3","★3","低","パスワード管理ルールを利用者に周知すること。","顧客運用","VPNやRTX管理専用の例外運用があると、周知内容が複雑になります。","VPN認証やRTX管理者認証で利用するSingleIDの認証ルールを、顧客運用の周知資料に含めることができます。","周知、教育、利用者確認。","顧客運用のパスワード管理ルール、周知資料、教育記録、利用者確認記録。"
"アクセス権管理に関する項目","4-1-7-1","★3","高","アクセス権の発行・変更・削除、範囲限定、棚卸、台帳管理のルールを定めること。","VPN利用者認証・RTX管理者認証","RTXごとのローカル認証では、VPNアクセス権やRTX管理者権限の台帳管理・棚卸を個別に行う必要があります。","SingleIDのユーザ・グループでVPN利用可否やRTX管理者ログイン可否を管理し、管理権限・一般権限を割り当てることで、アクセス権の発行・変更・削除を整理できます。","申請・承認フロー、台帳、棚卸、RTX側の接続方式・接続元制限。","SingleIDグループ一覧、顧客運用のアクセス権申請記録、顧客運用の変更記録、棚卸記録、RTX管理アクセス設定。"
"アクセス権管理に関する項目","4-1-7-2","★4","高","年1回以上、付与したアクセス権の棚卸を実施すること。","VPN利用者認証・RTX管理者認証","RTXに登録されたローカルユーザや管理者アカウントを機器ごとに確認する必要があります。","SingleID側のグループやユーザ一覧を、VPNアクセス権やRTX管理者権限の棚卸基準にできます。","棚卸頻度、証跡、RTX側ローカルアカウントの確認。","SingleIDユーザ一覧、SingleIDグループ一覧、顧客運用のアクセス権棚卸記録、RTXローカルユーザ確認記録。"
"アクセス権管理に関する項目","4-1-7-3","★4","中","重要な機密情報を扱うシステムは、アクセス権付与の条件を定めること。","VPN利用者認証","VPN接続後に重要システムへ到達できる場合、VPN利用条件を明確にする必要があります。","SingleIDのグループ条件を用いて、VPN利用を許可する対象者を定義できます。","VPN接続後の到達可能範囲、ネットワーク分離、重要システム側のアクセス制御。","SingleIDグループ一覧（VPN利用許可）、顧客運用のアクセス権申請記録、ネットワーク到達範囲資料、重要システム側アクセス制御設定。"
"アクセス権管理に関する項目","4-1-7-4","★4","中","重要な機密情報を扱うシステムのアクセス権設定について、システム管理者の要件および設定手順を定めること。","RTX設定・運用","VPN接続が重要システムへの入口になる場合、誰がVPNアクセス権を設定するか、どの手順で設定するかを明確にする必要があります。","SingleID側のユーザ・グループ設定手順とRTX側のVPN設定手順を分けて整理し、運用手順として明文化できます。","設定変更者、承認者、設定レビュー、緊急変更手順。","顧客運用の運用手順書、設定変更申請、承認記録、設定レビュー記録。"
"アクセス権管理に関する項目","4-1-7-5","★4","高","ユーザおよび管理者ごとに必要最小限の権限を付与すること。","VPN利用者認証・RTX管理者認証","共有VPNアカウントや広い管理アクセス許可では、最小権限の説明が難しくなります。","ユーザ・グループ単位でVPN利用可否やRTX管理アクセス可否を分け、管理権限・一般権限を割り当てることで、最小権限の考え方を整理できます。","VPN接続後のアクセス範囲、RTX側の接続方式・接続元制限、管理元IP制限。","SingleIDグループ一覧、SingleID RADIUSサイト設定（管理アクセスの認証）、VPN到達範囲資料、RTX接続元制限設定、顧客運用の棚卸記録。"
"アクセス権管理に関する項目","4-1-7-6","★4","中","付与したアクセス権の運用・利用状況を監視する仕組みを整備すること。","ログ管理","RTX側の接続ログだけでは、利用者管理や認証失敗状況の確認が分散します。","SingleIDのRADIUS認証ログでは、VPN利用者認証およびRTX管理者認証の成功・失敗を確認できます。VPN接続後の通信状況、RTX設定変更、管理操作の詳細は、RTX側ログや関連システムのログと組み合わせて確認します。","ログ確認頻度、担当者、保存期間、異常検知時の対応手順。","SingleID RADIUS認証ログ、RTX側ログ、顧客運用の月次確認記録、異常検知時の対応記録。"
"ネットワーク境界防護に関する項目","4-5-1-1","★3","低","ファイアウォールまたはルータのデフォルト管理パスワードを強固で一意のパスワードに変更する、またはリモートアクセスを完全に無効化すること。","RTX設定・運用","RTXの初期管理パスワードやローカル管理者パスワードを個別に管理する必要があります。","本項目はRTX本体の管理パスワード変更またはリモート管理無効化が主な確認対象です。SingleIDはRTX管理者ログイン認証を強化する補助策であり、RTX本体の初期パスワード変更を代替しません。","初期パスワード変更、緊急時アカウント、ローカル管理者パスワードの保管・変更手順。","RTX初期設定記録、RTX管理パスワード変更記録、RTXリモート管理設定、RTXローカル管理者アカウント管理台帳。"
"ネットワーク境界防護に関する項目","4-5-1-2","★3","低","ファイアウォールまたはルータのパスワードを変更する手順を定めること。","RTX設定・運用","RTXごとに管理パスワード変更手順を定める必要があります。","SingleID認証を利用する場合でも、RTX本体のローカル管理者アカウントや緊急時アカウントのパスワード管理は別途必要です。","変更頻度、保管方法、担当者、障害時の利用手順。","顧客運用の管理パスワード変更手順、変更記録、緊急時アカウント管理手順。"
"ネットワーク境界防護に関する項目","4-5-1-3","★3","中","ファイアウォールまたはルータの認証は、パスワード設定等に関する評価基準を満たすこと。","RTX管理者認証","RTXはルータであり、RTX本体への管理者ログイン認証は、ルータの認証として確認対象になります。VPN利用者認証については、主に4-1-3-5や4-1-5-3の観点で整理します。","RTX管理者ログインにSingleID認証を利用することで、ルータ管理者認証に対してパスワードポリシーやOTPの適用を説明できます。VPN利用者認証については、VPN認証強化の観点で別途整理します。","ローカル管理者アカウント、緊急時アカウント、RADIUS障害時の運用。","RTX管理者認証設定、SingleIDパスワードポリシー、SingleID RADIUSサイト設定（2要素認証（OTP）のみ許可）、RTXローカル管理者アカウント棚卸記録。"
"ネットワーク境界防護に関する項目","4-5-1-4","★3","低","認証されていないインバウンド通信を遮断すること。","RTX設定・運用","VPN公開ポートはインターネット側の入口になるため、認証前通信と認証後通信の扱いをRTX側で適切に設計する必要があります。","SingleIDは認証強化を担います。境界防護そのものはRTX側のVPN設定、フィルタ設定、管理アクセス制限と合わせて確認します。","VPN公開範囲、フィルタ設定、管理画面の公開有無、不要なインバウンド通信の遮断。","RTXフィルタ設定、RTX VPN公開設定、RTX管理アクセス設定、ネットワーク構成図。"
"ネットワーク境界防護に関する項目","4-5-1-7","★3","高","インターネット経由でファイアウォール・ルールを変更する場合は、多要素認証または信頼できるIPアドレス制限を適用すること。","RTX管理者認証","RTXの管理画面や管理接続をインターネット経由で利用する場合、ローカルパスワードのみでは説明が弱くなります。","RTX管理者ログインにSingleIDのOTP認証を適用することで、インターネット経由の管理アクセスに対する多要素認証として整理できます。RTX側の接続元IP制限と組み合わせることで、管理アクセス保護を説明できます。","管理画面をインターネットへ直接公開しない設計、VPN経由管理、管理元IP制限、緊急時アクセス手順。","RTX管理アクセス設定、RTX接続元IP制限、SingleID RADIUSサイト設定（管理アクセスの認証）、SingleID RADIUSサイト設定（2要素認証（OTP）のみ許可）、顧客運用の緊急時アクセス手順。"
"ログ取得・監視に関する項目","4-4-3-1","★4","中","ファイアウォール、プロキシサーバ、認証サーバなどのログを取得・保管すること。","ログ管理","RTX側のVPNログだけでは、認証サーバ側の成功・失敗やユーザID単位の確認が不足する場合があります。","SingleIDのRADIUS認証ログでは、VPN利用者認証およびRTX管理者認証の成功・失敗を確認できます。VPN接続後の通信状況、RTX設定変更、管理操作の詳細は、RTX側ログや関連システムのログと組み合わせて確認します。","保存期間、取得項目、設定変更ログの扱い、ログ保管場所。","SingleID RADIUS認証ログ、RTX側VPNログ、RTX管理ログ、ログ保管設定、顧客運用のログ保管手順。"
"ログ取得・監視に関する項目","4-4-3-2","★4","条件付き","取得・保管を求めるログを保存する媒体やシステムにインターネット経由でアクセスする場合は、多要素認証を使用すること。","ログ管理","ログ保存先へインターネット経由でアクセスできる場合、ログ閲覧者の認証も確認が必要になります。","条件付き。ログ閲覧システムをSingleIDの認証対象に含める場合、ログ閲覧者への多要素認証として説明できます。SingleIDの対象外であれば、ログ閲覧システム側でMFAを確認します。","ログ保存先、ログ閲覧システム、閲覧者権限、MFA適用範囲。","ログ閲覧システムの認証設定、SingleID連携設定、MFA設定、閲覧者権限一覧。"
"ログ取得・監視に関する項目","4-4-3-3","★4","高","認証サーバのログを月1回以上モニタリングし、不審な認証試行を検知すること。","ログ管理","RTX側ログだけでは、VPN利用者認証やRTX管理者認証の成功・失敗、無効ユーザの試行、認証失敗の傾向確認が分散します。","SingleIDのRADIUS認証ログにより、VPN認証およびRTX管理者ログインの成功・失敗、不審な認証試行、無効ユーザによる試行を確認できます。","月1回以上の確認手順、担当者、保存期間、異常検知時の対応手順、RTX側ログとの突合方法。","SingleID RADIUS認証ログ、顧客運用の月次確認記録、異常検知時の対応記録、RTX側ログ突合記録。"
